date,campaign_id,campaign_name,spend,clicks,articleid,type,version,author,media,adset_id,banner_revenue,video_revenue,created_date,revenue>spend,headline,media_link,total_revenue,profit,roi,cpc,is_profitable
2024-02-20,c:479655221905119760,405047 Alt v1 android (Andrii) IMG,9.69,394,405047,Alt,v1,Andrii,IMG,a:293087558504487000,4.144413,0.40988699999999945,2024-02-20,False,‘OMG!’ Boy Accidentally Meets His Mom He Thought Had Died Years Ago – Story of the Day,image,4.5543,-5.1357,0.47,0.02459390862944162,False
2024-02-20,c:479655221905119760,405047 Alt v1 android (Andrii) IMG,9.69,394,405047,Alt,v1,Andrii,IMG,a:293087558504487000,4.144413,0.40988699999999945,2024-02-20,False,‘OMG!’ Boy Accidentally Meets His Mom He Thought Had Died Years Ago – Story of the Day,image,4.5543,-5.1357,0.47,0.02459390862944162,False
2024-02-20,c:479655221905119760,405047 Alt v1 android (Andrii) IMG,9.69,394,405047,Alt,v1,Andrii,IMG,a:293087558504487000,4.144413,0.40988699999999945,2024-02-20,False,‘OMG!’ Boy Accidentally Meets His Mom He Thought Had Died Years Ago – Story of the Day,image,4.5543,-5.1357,0.47,0.02459390862944162,False
2024-02-21,c:479655221905119760,405047 Alt v1 android (Andrii) IMG,30.92,495,405047,Alt,v1,Andrii,IMG,a:293087558504487000,14.584964,1.8026359999999997,2024-02-20,False,‘OMG!’ Boy Accidentally Meets His Mom He Thought Had Died Years Ago – Story of the Day,image,16.3876,-14.532400000000003,0.5299999999999999,0.062464646464646466,False
2024-02-21,c:479655221905119760,405047 Alt v1 android (Andrii) IMG,30.92,495,405047,Alt,v1,Andrii,IMG,a:293087558504487000,14.584964,1.8026359999999997,2024-02-20,False,‘OMG!’ Boy Accidentally Meets His Mom He Thought Had Died Years Ago – Story of the Day,image,16.3876,-14.532400000000003,0.5299999999999999,0.062464646464646466,False
2024-02-21,c:479655221905119760,405047 Alt v1 android (Andrii) IMG,30.92,495,405047,Alt,v1,Andrii,IMG,a:293087558504487000,14.584964,1.8026359999999997,2024-02-20,False,‘OMG!’ Boy Accidentally Meets His Mom He Thought Had Died Years Ago – Story of the Day,image,16.3876,-14.532400000000003,0.5299999999999999,0.062464646464646466,False
2024-02-22,c:479655221905119760,405047 Alt v1 android (Andrii) IMG,17.87,816,405047,Alt,v1,Andrii,IMG,a:293087558504487000,8.020056,1.0936439999999994,2024-02-20,False,‘OMG!’ Boy Accidentally Meets His Mom He Thought Had Died Years Ago – Story of the Day,image,9.1137,-8.756300000000001,0.51,0.02189950980392157,False
2024-02-22,c:479655221905119760,405047 Alt v1 android (Andrii) IMG,17.87,816,405047,Alt,v1,Andrii,IMG,a:293087558504487000,8.020056,1.0936439999999994,2024-02-20,False,‘OMG!’ Boy Accidentally Meets His Mom He Thought Had Died Years Ago – Story of the Day,image,9.1137,-8.756300000000001,0.51,0.02189950980392157,False
2024-02-22,c:479655221905119760,405047 Alt v1 android (Andrii) IMG,17.87,816,405047,Alt,v1,Andrii,IMG,a:293087558504487000,8.020056,1.0936439999999994,2024-02-20,False,‘OMG!’ Boy Accidentally Meets His Mom He Thought Had Died Years Ago – Story of the Day,image,9.1137,-8.756300000000001,0.51,0.02189950980392157,False
2024-02-20,c:703770107520193400,413122 Alt v1 android (Vasyl) IMG,7.09,110,413122,Alt,v1,Vasyl,IMG,a:452167281776838000,8.48673,0.446670000000001,2024-02-20,True,"Older Man Is Fired 2 Hours after Taking Store Job, Receives $70K for Wife’s Treatment Next Day",image,8.9334,1.8434000000000008,1.2600000000000002,0.06445454545454546,True
